!DATE,!SEASON,!COLOR,!ADJ,!NOUN
2020-03-19,6,#FAB7C9,Accidental,Sparks
2020-03-19,6,#00FF00,Obedient,Voice
2020-03-12,6,#9163F2,Spooky,Letter
2020-03-12,6,#05F2DB,Amused,Throne
2020-03-05,6,#F20530,Fascinated,Wish
2020-03-05,6,#ACD1F2,Prickly,Teacher
2020-03-05,6,#B3856F,Nostalgic,Winter
2020-02-26,6,#F2E205,Satisfying,Moment
2020-02-26,6,#FF661C,True,Jewel
2020-02-26,6,#18298C,Sick,Ninja
2020-02-19,6,#D93280,Lucky,Path
2020-02-19,6,#FFFFFF,Kindhearted,Breath
2020-02-19,6,#B527F2,Shaggy,Partner
2020-12-04,5,,Flawless,Trick
2020-12-04,5,,Helpless,Bubble
2020-12-04,5,,Special,Peter pan collar
2020-11-27,5,,Selfish,Birthday
2020-11-27,5,,Trashy,Angel
2020-11-27,5,,Faded,Sister
2020-11-27,5,,Absent,Team
2020-11-13,5,,Skinny,Thunder
2020-11-13,5,,Clumsy,Duck
2020-11-13,5,,Peaceful,Clover
2020-11-06,5,,Sporty,Geisha
2020-11-06,5,,Puzzling,Trip
2020-11-06,5,,Ambitious,Flame
2020-08-08,4,,Important,Mailbox
2020-08-08,4,,Sleepy,Doughnut
2020-08-08,4,,Non-stop,Pie
2020-08-08,4,,Dramatic,Basket
2020-08-08,4,,Malicious,Fried egg
2020-08-08,4,,Crying,Thief
2020-08-07,4,,Wakeful,Mission
2020-08-07,4,,Pointless,Star
2020-08-07,4,,Jobless,Clown
2020-08-07,4,,Shivering,Surprise
2020-08-07,4,,Purple,Smog
2020-08-07,4,,Damaged,Stranger
2020-08-07,4,,Imaginary,Spy
2020-08-07,4,,Frantic,Painter
2020-06-26,3,,Dreary,Homework
2020-06-26,3,,Abrupt,Queen
2020-06-26,3,,Enchanting,Visitor
2020-06-12,3,,Graceful,Crayon
2020-06-12,3,,Lonely,Sweater
2020-06-12,3,,Rare,Midnight
2020-06-12,3,,Vigorous,Delivery
2020-05-29,3,,Crooked,Hair
2020-05-29,3,,Simplistic,Secretary
2020-05-29,3,,Glossy,Leopard
2020-05-29,3,,Moldy,Cherries
2020-05-15,3,,Greedy,Departure
2020-05-15,3,,Blushing,Wings
2020-05-15,3,,Tenuous,Cactus
2020-05-15,3,,Sparkling,Boss
2020-03-28,2,,Elastic,Quarantine
2020-03-28,2,,Hypnotic,Reaper
2020-03-28,2,,Fearless,Cannon
2020-03-27,2,,Brainless,Hookah
2020-03-27,2,,Jazzy,Monkey
2020-03-27,2,,Devilish,Jellyfish
2020-03-27,2,,Eruptive,Samurai
2020-03-27,2,,Acidic,Stiletto
2020-03-13,2,,Unlucky,Virus
2020-03-13,2,,Emotional,Leech
2020-03-13,2,,Drowsy,Syringe
2020-03-13,2,,Artificial,Clown
2020-03-13,2,,Mutation,Shark
2020-03-13,2,,Abnormal,Laugh
2020-03-11,2,,Loving,Atmosphere
2020-03-06,2,,Sheltering,Forest
2020-03-06,2,,Affectionate,Wildlife
2020-03-06,2,,Comforting,Beauty
2020-02-28,2,,Affectionate,Forest
2020-02-28,2,,Escaping,Paws
2020-02-28,2,,Tears,Torpedo
2020-01-30,1,,Comforting,Kangaroo
2020-01-30,1,,Scorched,Wildlife
2020-01-30,1,,Sheltering,Paws
2020-12-19,1,,Laughing,Snowman
2020-12-19,1,,,Reindeer
2020-12-19,1,,Stoned,Gift
2020-12-19,1,,,Gift
2019-11-22,1,,Tears,Torpedo
2019-11-22,1,,,Aquarium
2019-11-22,1,,Brittle,Reflection
2019-10-18,1,,Magic,Alcohol
2019-10-18,1,,,Elephant
2019-10-18,1,,Mystery,Denim
2019-10-18,1,,,Motorbike
2019-08-30,0,,Ravaging,Fire
2019-08-30,0,,,Monkey
2019-08-30,0,,Suffocating,Biodiversity
2019-08-30,0,,,Treehouse
2019-07-24,0,,Tools,Pain
2019-07-24,0,,Disco,Dirty
